id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,google product category,shipping weight,sale price,sale price effective date,additional image link,product type,custom label 0
A846U-X,4th of July - 4th of July Cards,"This patriotic 4th of July card is the perfect way to stay in touch during the summer months. Featuring FSC&reg; certified paper and silver foil embossing.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/4th_of_July_846U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2008%20AO/846.jpg,,846U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,4th of July Card,15Off
A846U-X,4th of July - 4th of July Cards,"This patriotic 4th of July card is the perfect way to stay in touch during the summer months. Featuring FSC&reg; certified paper and silver foil embossing.
Includes 26 white envelopes for every 25 cards ordered.
Please note: If you have purchased this card in the past, the previous paper has been discontinued. The new paper is a heavier cardstock that is not quite as shiny.",https://postycards.com/catalog/product/4th_of_July_846U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2008%20AO/846.jpg,,A846U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,4th of July Card,15Off
163D-X,4th of July Nostalgia - 4th of July Cards,"This Independence Day card features a bald eagle with an American flag  and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/4th_of_July_Nostalgia_163D,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/163.jpg,,163D-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,4th of July Card,15Off
A2051U-X,American Spirit - 4th of July Cards,"This 4th of July card shows an American flag waving proudly. Featuring FSC&reg; certified paper and silver foil embossing.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/American_Spirit_A2051U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2012%20AO/A2051.jpg,,A2051U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,4th of July Card,15Off
A5070U-X,Banner 4th of July - 4th of July Cards,"A retro 4th of July card featuring silver textured foil embossing and printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Banner_4th_July_A5070U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2015%20AO/A5070.jpg,,A5070U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,4th of July Card,15Off
D4076D-Y,Celebrate Freedom - 4th of July Cards,"This patriotic card could be used for the 4th of July, Memorial Day, or Veteran's Day. Featuring FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Celebrate_Freedom_D4076D,New,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2014%20AO/D4076.jpg,,D4076D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,4th of July Card,15Off
