id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,google product category,shipping weight,sale price,sale price effective date,additional image link,product type,custom label 0
150T-Z,Field of Dreams - Set of 50 -  Floral Birthday Cards,"This budget friendly birthday card features a scenic photograph of a summer field and is printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Field_of_Dreams_150T,new,27.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/150.jpg,,150T-Z,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Floral Birthday Card,15Off
151P-ZZ,Plaid Postcard - Set of 50 -  Business Birthday Postcards,"A business birthday postcard with a simple plaid design, printed on FSC certified paper.
No envelope included.",https://postycards.com/catalog/product/Plaid_Postcard_151P,new,24.50 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/151.jpg,,151P-ZZ,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Business Birthday PostCard,15Off
152P-ZZ,Rainbow Postcard - Set of 50 -  Birthday Postcards,"A colorful typographic birthday postcard, printed on FSC&reg; certified paper.
No envelope included.",https://postycards.com/catalog/product/Rainbow_Postcard_152P,new,24.50 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/152.jpg,,152P-ZZ,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday PostCard,15Off
156U-X,Feels Like Home Mother's Day - Set of 50 -  Mother's Day Cards,"A Mother's Day card with an inviting front porch and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Feels_Like_Home_156U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/156.jpg,,156U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Mother's Day Card,15Off
159D-Y,Mother's Day Daisy - Set of 50 -  Mother's Day Cards,"Remember moms with this fun, floral Mother's Day card, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Mothers_Day_Daisy_159D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/159.jpg,,159D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Mother's Day Card,15Off
160D-Y,Formal Father's Day - Set of 50 -  Father's Day Cards,"A formal, budget friendly Father's Day card to send to your clients and employees who are fathers. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Formal_Fathers_Day_160D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/160.jpg,,160D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Father's Day Card,15Off
161U-X,Scenic Father's Day - Set of 50 -  Father's Day Cards,"A Father's Day card with a beautiful mountain lake scene. Featuring FSC&reg; certified paper and gold foil embossing.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Scenic_Fathers_Day_161U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/161.jpg,,161U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Father's Day Card,15Off
162U-X,Special Moments Father's Day - Set of 50 -  Father's Day Cards,"A classic Father's Day card featuring gold foil embossing and printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Special_Moments_Fathers_Day_162U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/162.jpg,,162U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Father's Day Card,15Off
163D-X,4th of July Nostalgia - Set of 50 -  4th of July Cards,"This Independence Day card features a bald eagle with an American flag  and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/4th_of_July_Nostalgia_163D,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/163.jpg,,163D-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,4th of July Card,15Off
165D-Y,Clover Border - Set of 50 -  St. Patrick's Day Cards,"Send best wishes for a happy St. Patrick's Day with this graphic four leaf clover card. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Clover_Border_165D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/165.jpg,,165D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,St. Patrick's Day Card,15Off
168D-Y,Easter Tulips - Set of 50 -  Easter Cards,"An Easter card with a beautiful floral spring photograph, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Easter_Tulips_168D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/168.jpg,,168D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Easter Card,15Off
169D-Y,Easter Eggs - Set of 50 -  Easter Cards,"A fun Easter card with 3 simple eggs, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Easter_Eggs_169D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/169.jpg,,169D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Easter Card,15Off
171D-Y,Black Cat - Set of 50 -  Halloween Cards,"A business Halloween card with a black cat, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Black_Cat_171D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/171.jpg,,171D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Halloween Card,15Off
